,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,doi,title,abstract,paperurl,slug,pdfurl,type,journal,month,year,volume,issue,author,citation
0,0,0,0,10.1016/j.drugpo.2021.103133,What Cannabis Can Learn from Covid: Hydroxychloroquine Research Suggests the Next Step for Medical Cannabis Research.,"Because of the massive scale of the Covid-19 pandemic, Covid treatment research is subject to intense politicization, frequent media scrutiny, and continued public interest. As thoroughly described in a recent JAMA Viewpoint Article (Califf, Hernandez, & Landray, 2020), public scrutiny into drug development research has the potential to introduce a new set of incentives into the research process, which can, in turn, disrupt science-based regulation and the delivery of evidence-based treatments. These dangers became abundantly apparent through the US experience with hydroxychloroquine. When influencers and politicians began to endorse hydroxychloroquine as a treatment for Covid based upon early observational and preclinical studies, many in the public, including patients, physicians, and policy-makers, were quick to embrace hydroxychloroquine as an effective treatment, even though observational and preclinical studies are incapable of causally proving a drug's safety or efficacy. This unearned enthusiasm for hydroxychloroquine led to shortages for those who required the drug for approved indications (Jakhar & Kaur, 2020) and even cases of poisonings (Erickson, Chai, & Boyer, 2020). Another observational study (which was later retracted) subsequently found a positive association between hydroxychloroquine use and mortality as well as other adverse events, which may have made recruitment for hydroxychloroquine randomized controlled trials more challenging (Califf et al., 2020). Concerningly, the cacophony of contradictory observational and preclinical evidence presented in the media led some members of the public to adopt a dogmatic attachment to the drug's effectiveness or ineffectiveness in line with their political identity (Fuhrer & Cova, 2020). Since hydroxychloroquine was first suggested as a possible Covid treatment, a large-scale RCT, similar to what would be required for FDA drug approval, along with five smaller RCTs have all failed to find that hydroxychloroquine is an effective treatment for Covid. The authors of the large-scale RCT stated on June 5th, “this result should change medical practice worldwide and demonstrates the importance of large, randomised trials to inform decisions about both the efficacy and the safety of treatments” (RECOVERY Investigators, 2020). Despite this causal evidence, many in the public still believe that hydroxychloroquine is an effective treatment (PolitiFact, 2020), detracting from other potentially effective preventive measures and treatments and fueling conspiratorial theories about pharmaceutical interventions overall (Sattui et al., 2020).",https://www.sciencedirect.com/science/article/pii/S0955395921000311,cannabis-covid,IJDP-2021,Original Research,,,,,,,
1,1,1,1,10.2196/19369,Collateral crises of gun preparation and the COVID-19 pandemic: An infodemiology study.,"Background:
In the past, national emergencies in the United States have resulted in increased gun preparation (ie, purchasing new guns or removing guns from storage); in turn, these gun actions have effected increases in firearm injuries and deaths.

Objective:
The aim of this paper was to assess the extent to which interest in gun preparation has increased amid the coronavirus disease (COVID-19) pandemic using data from Google searches related to purchasing and cleaning guns.

Methods:
We fit an Autoregressive Integrated Moving Average (ARIMA) model over Google search data from January 2004 up to the week that US President Donald Trump declared COVID-19 a national emergency. We used this model to forecast Google search volumes, creating a counterfactual of the number of gun preparation searches we would expect if the COVID-19 pandemic had not occurred, and reported observed deviations from this counterfactual.

Results:
Google searches related to preparing guns have surged to unprecedented levels, approximately 40% higher than previously reported spikes following the Sandy Hook, CT and Parkland, FL shootings and 158% (95% CI 73-270) greater than would be expected if the COVID-19 pandemic had not occurred. In absolute terms, approximately 2.1 million searches related to gun preparation were performed over just 34 days. States severely affected by COVID-19 appear to have some of the greatest increases in the number of searches.",https://publichealth.jmir.org/2020/2/e19369/,covid-guns,JMIR-2020,Original Research,,,,,,,
2,2,2,2,10.1001/jamapediatrics.2019.6291,"Physical and sexual violence among U.S. Gay, Lesbian, Bisexual, and Questioning adolescents.","Physical and sexual violence are known public health hazards,1 imposing substantial physical and emotional burdens on those who have experienced such violence.2 Gay, lesbian, bisexual, and questioning adolescents are believed to be at higher risk than their heterosexual peers for violence.3 However, no nationally representative study has examined the holistic risk of violence to sexual minority adolescents, and some forms of violence (eg, sexual assault by a stranger), to our knowledge, have not been assessed.4 We used data from the National Youth Risk Behavior Survey (YRBS), conducted every 2 years by the Centers for Disease Control and Prevention, to quantify the risk of physical and sexual violence faced by sexual minority adolescents attending high schools in the United States.",https://jamanetwork.com/journals/jamapediatrics/article-abstract/2762002,lgbq-violence,JPED-2020,Original Research,,,,,,,
3,3,3,3,10.1001/jamainternmed.2018.5094,"Internet searches for sexual harassment and assault, reporting, and training following #MeToo","On October 15, 2017, following the public accusations of sexual harassment and assault against film producer Harvey Weinstein, actress Alyssa Milano encouraged victims to bring the taboo topic out of the shadows by sharing their own stories on social media. #MeToo was tweeted 300 000 times the day after Milano’s post and generated widespread support with scores of accusations made against media, political, and business leaders, giving voice to previously unheard victims.1 However, the implications for the victims whose perpetrators are not public figures is unknown. To fill this knowledge gap, we examined how internet searches for sexual harassment and/or assault changed following #MeToo.2",https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/2719193,metoo,JINT-2018,Original Research,,,,,,,
4,4,4,4,10.2105/AJPH.2018.304446,"Substance use among Gay, Lesbian, Bisexual, and Questioning adolescents in the United States, 2015.","Objectives. To provide current national estimates of lesbian, gay, bisexual, and questioning (LGBQ) adolescents’ (grades 9–12) substance use risks.

Methods. The 2015 national Youth Risk Behavior Survey included questions for 19 substance use outcomes covering 15 substances. LGBQ adolescents’ substance use was described and their risk relative to heterosexual adolescents was estimated after controlling for sociodemographic confounders.

Results. In controlled analyses, we found that LGBQ adolescents were 1.12 (95% confidence interval [CI] = 1.06, 1.19) times as likely as heterosexual adolescents to report any lifetime and 1.27 (95% CI = 1.14, 1.41) times as likely to report past 30-day substance use. LGBQ adolescents were at significantly greater risk for all but 1 studied substance, including alcohol, cigarettes, cigars, cocaine, ecstasy, electronic vapor usage (“vaping”), hallucinogens, heroin, inhalants, marijuana, methamphetamine, prescription drugs (without physician direction), steroids, and synthetic marijuana.

Conclusions. LGBQ adolescents are at substantially greater risk for substance use.

Public Health Implications. Policymakers should invest in prevention and early intervention resources to address substance use risks among LGBQ adolescents.",https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2018.304446,lgbq-substanceuse,AJPH-2018,Original Research,,,,,,,
5,5,5,5,10.1097/ADM.0000000000000405,Medical marijuana users are more likely to use and misuse prescription drugs,"Objectives: 
Previous studies have found a negative population-level correlation between medical marijuana availability in US states, and trends in medical and nonmedical prescription drug use. These studies have been interpreted as evidence that use of medical marijuana reduces medical and nonmedical prescription drug use. This study evaluates whether medical marijuana use is a risk or protective factor for medical and nonmedical prescription drug use.

Methods: 
Simulations based upon logistic regression analyses of data from the 2015 National Survey on Drug Use and Health were used to compute associations between medical marijuana use, and medical and nonmedical prescription drug use. Adjusted risk ratios (RRs) were computed with controls added for age, sex, race, health status, family income, and living in a state with legalized medical marijuana.

Results: 
Medical marijuana users were significantly more likely (RR 1.62, 95% confidence interval [CI] 1.50–1.74) to report medical use of prescription drugs in the past 12 months. Individuals who used medical marijuana were also significantly more likely to report nonmedical use in the past 12 months of any prescription drug (RR 2.12, 95% CI 1.67–2.62), with elevated risks for pain relievers (RR 1.95, 95% CI 1.41–2.62), stimulants (RR 1.86, 95% CI 1.09–3.02), and tranquilizers (RR 2.18, 95% CI 1.45–3.16).

Conclusions: 
Our findings disconfirm the hypothesis that a population-level negative correlation between medical marijuana use and prescription drug harms occurs because medical marijuana users are less likely to use prescription drugs, either medically or nonmedically. Medical marijuana users should be a target population in efforts to combat nonmedical prescription drug use.",https://journals.lww.com/journaladdictionmedicine/Abstract/2018/08000/Medical_Marijuana_Users_are_More_Likely_to_Use.8.aspx,marijuana-prescriptions,JAM-2018,Original Research,,,,,,,
6,6,6,6,10.1016/j.amepre.2018.01.032,Online sales of marijuana: An unrecognized public health dilemma,"The Internet hosts many unregulated marketplaces for otherwise regulated products. 1 ,  2 If extended to marijuana (or cannabis), 3 online markets can undermine both the U.S. Controlled Substances Act, which bans marijuana sales, and the regulatory regimes of states that have legalized marijuana. Consequently, regardless of the regulatory regime, understanding the online marijuana market should be a public health priority. Herein, the scale and growth trajectory of the online marijuana marketplace was assessed for the first time by analyzing aggregate Internet searches and the links searchers typically find. 4",https://www.ajpmonline.org/article/S0749-3797(18)30064-3/fulltext,online-marijuana,AJPM-2018,Original Research,,,,,,,
7,7,7,7,10.1016/j.drugalcdep.2018.01.012,Sex and orientation identity matter in the substance use behaviors of sexual minority adolescents in the United States,"Background
Health sciences researchers are beginning to understand the differing experiences and health risks among sexual minority subgroups (i.e., those who describe themselves as homosexual/gay/lesbian, bisexual, or unsure/questioning). Such research can promote the allocation of resources to high-risk groups and the development of interventions tailored to their needs. The present study extends this line of research to substance use among adolescents.

Methods
The lifetime and/or past 30-day alcohol, tobacco, cigarette, e-cigarette, marijuana, prescription drug, and illicit drug use of sexual minority and heterosexual adolescents was analyzed using data from the 2015 National Youth Risk Behavior Survey. Controlling for confounders, separate logistic regression models were fit for each substance use outcome. A simulation-based strategy was employed to report adjusted risk ratios for each substance use outcome for each sexual minority subgroup.

Results
Sexual minority females, particularly bisexual females, were at an elevated risk for substance use. For example, compared to heterosexual females, sexual minority females were 1.35 (95%CI 1.16–1.56) times more likely to have used a substance in the past 30 days, and bisexual females had an even further elevated risk ratio (RR: 1.48, 95%CI 1.28–1.69).

Conclusions
Studying the variance among sexual minority subgroups will help practitioners, advocates, and policymakers identify high risk subgroups. In the case of substance use, this study suggests sexual minority females, particularly bisexual females, should become a target population for prevention and other interventions. The study conducts post-hoc analyses on secondary data, and so these results should be verified in more targeted studies.",https://www.sciencedirect.com/science/article/pii/S0376871618301170,sexorientation-matters,DAD-2018,Original Research,,,,,,,
8,8,8,8,10.1001/jama.2017.16908,"Suicide risk behaviors among sexual minority adolescents in the United States, 2015.","Sexual minority (lesbian, gay, bisexual, or questioning) adolescents are believed to have elevated suicide risks.1 Studies supporting this claim, however, rarely use nationally representative samples, which is a major limitation given that stigma and prevention resources vary across communities and may influence suicide risk behaviors.2 When nationally representative studies are available, they are not recent.3 Moreover, studies have ignored the diversity among sexual minorities, assuming all share the same risks.4 We estimated suicide risk behaviors of sexual minority adolescents using nationally representative data from 2015.",https://jamanetwork.com/journals/jama/article-abstract/2666491,lgbq-suicide,JAMA-2017,Original Research,,,,,,,
9,9,9,9,10.1371/journal.pone.0185735,They’re heating up: Search query data reveals significant public interest in heat-not-burn tobacco products,"Heat-not-burn tobacco products, battery powered devices that heat leaf tobacco to approximately 500 degrees Fahrenheit to produce an inhalable aerosol, are being introduced in markets around the world. Japan, where manufacturers have marketed several heat-not-burn brands since 2014, has been the focal national test market, with the intention of developing global marketing strategies. We used Google search query data to estimate, for the first time, the scale and growth potential of heat-not-burn tobacco products. Average monthly searches for heat-not-burn products rose 1,426% (95%CI: 746,3574) between their first (2015) and second (2016) complete years on the market and an additional 100% (95%CI: 60, 173) between the products second (2016) and third years on the market (Jan-Sep 2017). There are now between 5.9 and 7.5 million heat-not-burn related Google searches in Japan each month based on September 2017 estimates. Moreover, forecasts relying on the historical trends suggest heat-not-burn searches will increase an additional 32% (95%CI: -4 to 79) during 2018, compared to current estimates for 2017 (Jan-Sep), with continued growth thereafter expected. Contrasting heat-not-burn’s rise in Japan to electronic cigarettes’ rise in the United States we find searches for heat-not-burn eclipsed electronic cigarette searches during April 2016. Moreover, the change in average monthly queries for heat-not-burn in Japan between 2015 and 2017 was 399 (95% CI: 184, 1490) times larger than the change in average monthly queries for electronic cigarettes in the Unites States over the same time period, increasing by 2,956% (95% CI: 1729, 7304) compared to only 7% (95% CI: 3,13). Our findings are a clarion call for tobacco control leaders to ready themselves as heat-not-burn tobacco products will likely garner substantial interest as they are introduced into new markets. Public health practitioners should expand heat-not-burn tobacco product surveillance, adjust existing tobacco control strategies to account for heat-not-burn tobacco products, and preemptively study the health risks/benefits, popular perceptions, and health messaging around heat-not-burn tobacco products.",https://journals.plos.org/plosone/article,hnb-searches,PLOS-2017,Original Research,,,,,,,
